time,open,high,low,close
991143000,57.25,57.949995,57.175005,57.785005
991661400,58.050005,59,57.655,58.195
992266200,58.050005,58.050005,55.175005,55.665
992871000,55.815,56.725,55.235,56.14
993475800,56.1,56.81,55.03,56.5
994080600,56.300005,56.97,54.5,54.5
994685400,54.714995,55.870005,53.629995,55.745005
995290200,55.775,56.120005,54.870005,55.485
995895000,55.625,55.695,53.4,55.24
996499800,55.4,56.199995,54.955,55.64
997104600,55.6,55.6,53.574995,54.480005
997709400,54.620005,54.949995,53.17,53.324995
998314200,53.375,54.345,52.86,54.345
998919000,54.199995,54.35,51.705,52.175005
999610200,52.17,53.035005,49.75,49.75
1000128600,49.65,50.300005,49.375,50.125
1000733400,47.125,48.550005,43.4,44.275
1001338200,45.5,47.475,45.129995,47.475
1001943000,47.1,49.49,46.655,48.65
1002547800,48.225,50.129995,47.955,49.665
1003152600,49.4,50.504995,48.25,48.879995
1003757400,48.85,50.574995,48.695,50.370005
1004365800,50.199995,50.199995,48.065,49.550005
1004970600,50.4,51.745005,50,51.04
1005575400,50.49,52.425005,50.03,51.985
1006180200,52.25,52.61,51.629995,52.455
1006785000,52.665,53.175005,51.519995,52.14
1007389800,51.835,53.949995,51.57,53.535005
1007994600,53.199995,53.305,51.4,51.815
1008599400,51.85,53.14,51.815,52.78
1009204200,52.699995,53.629995,52.574995,53.425005
1009809000,53.475,54.205,52.305,54.050005
1010413800,54.375,54.375,52.865,52.879995
1011018600,52.85,52.955,51.875,52.004995
1011709800,52.425005,52.550005,51.475,52.36
1012228200,52.475,52.535005,50.214995,51.93
1012833000,51.9,51.9,49.949995,50.665
1013437800,50.79,52.07,50.725,51.085
1014129000,50.985,50.985,49.725,50.315
1014647400,50.574995,52.345,50.574995,52.345
1015252200,52.5,54.339995,52.35,53.97
1015857000,54,54.345,53.4,53.96
1016461800,54.300005,54.42,52.935,53.4
1017066600,53.300005,53.53,52.449995,53.055
1017671400,53,53.235,52,52.245005
1018272600,51.824995,52.714995,51.525,51.93
1018877400,51.975,52.94,51.435,52.589995
1019482200,52.425005,52.425005,50.28,50.28
1020087000,50.475,51.5,49.949995,50.394995
1020691800,50.515,51.15,49.22,49.5
1021296600,49.725,51.894995,49.54,51.865
1021901400,51.585,51.585,50.394995,50.705
1022592600,50.915,50.915,49.515,49.975
1023111000,50,50.18,47.525,48.355005
1023715800,48.35,48.800005,46.19,47.24
1024320600,47.85,48.915,46.300005,46.504995
1024925400,46.375,47.045,44.574995,46.4
1025530200,46.5,46.5,43.58,46.195
1026135000,46.199995,46.275,42.125,43.225
1026739800,42.4,43.324995,39.69,39.85
1027344600,39.6,40.199995,36.545,40
1027949400,41.074995,42.745005,40.129995,40.475
1028554200,40.300005,42.725,39.1,42.4
1029159000,41.9,43.745005,41.074995,43.375
1029763800,43.425005,45.129995,43.425005,44.074995
1030368600,44.15,44.6,42.28,42.855005
1031059800,42.15,42.275,40.975,42.1
1031578200,41.75,43.245005,41.25,41.800005
1032183000,41.79,42.449995,39.550005,39.769995
1032787800,39.5,40.315,38.504995,39.004995
1033392600,38.355005,39.949995,37.199995,37.660005
1033997400,37.65,39.35,36,39.115
1034602200,38.725,41.32,38.699995,41.185
1035207000,40.925005,42.01,40.725,41.92
1035815400,42.300005,42.300005,40.485,42.1
1036420200,42.725,43.199995,41.620005,41.699995
1037025000,41.550005,42.605005,40.795,42.5
1037629800,42.9,43.800005,41.745005,43.550005
1038234600,43.550005,44.125,42.714995,43.725
1038839400,44.54,44.699995,42.055,42.76
1039444200,42.4,42.699995,41.75,41.75
1040049000,42.050005,42.769995,41.379995,42.035005
1040653800,41.96,42.300005,41,41
1041258600,41.25,42.64,40.725,42.475
1041863400,42.800005,43.525,42.435,43.32
1042468200,43.725,43.725,42.08,42.300005
1043159400,42.425005,42.425005,40.35,40.485
1043677800,40.225,40.730005,39.425005,40.17
1044282600,40.35,40.6,38.85,38.949995
1044887400,39.025,39.550005,37.879995,39.04
1045578600,39.574995,39.975,39.144995,39.83
1046097000,39.725,39.754995,38.44,39.550005
1046701800,39.9,40.050005,38.225,38.995005
1047306600,38.589995,39.56,37.195,39.300005
1047911400,39.175005,42.03,38.905,42
1048516200,41.120005,41.275,40.300005,40.58
1049121000,39.855005,41.525,39.504995,41.144995
1049722200,42.25,42.4,40.43,40.695
1050327000,40.85,41.995005,40.785005,41.894995
1050931800,41.995005,43.144995,41.550005,42.165
1051536600,42.370005,43.745005,42.324995,43.675005
1052141400,43.800005,44.17,43.35,43.975
1052746200,43.945,44.745005,43.75,44.545
1053351000,44.4,44.4,43.08,44.11
1054042200,44,45.725,43.875,45.635
1054560600,46.074995,47.865,45.705,46.9
1055165400,46.65,47.550005,46.074995,46.89
1055770200,47.15,48.074995,47.08,47.15
1056375000,46.894995,46.894995,46.085,46.254995
1056979800,46.65,47.17,45.67,46.75
1057584600,47.25,48.050005,46.870005,47.504995
1058189400,48.07,48.36,46.61,47.25
1058794200,47.11,47.555,46.449995,47.53
1059399000,47.574995,47.915,46.75,46.754995
1060003800,46.675005,47,45.824995,46.504995
1060608600,46.595,47.379995,46.405,47.225
1061213400,47.300005,48.550005,47.300005,47.65
1061818200,47.65,48.49,47.1,48.43
1062509400,48.620005,49.480005,48.275,49.155
1063027800,49.275,49.660005,48.375,49.035005
1063632600,49.07,50,48.775,49.82
1064237400,49.449995,49.61,47.9,47.93
1064842200,47.855005,49.824995,47.42,49.46
1065447000,49.53,50.394995,49.305,49.92
