date,timestamp,open,high,low,close,volume
2009-10-05,1254693600,0.00115338,0.00115338,0.00115338,0.00115338,0
2009-10-12,1255298400,0.00122546,0.00122546,0.00122546,0.00122546,0
2009-10-19,1255903200,0.00128808,0.00128808,0.00128808,0.00128808,0
2009-10-26,1256511600,0.00121911,0.00121911,0.00121911,0.00121911,0
2009-11-02,1257116400,0.00126048,0.00126048,0.00126048,0.00126048,0
2009-11-09,1257721200,0.00123576,0.00123576,0.00123576,0.00123576,0
2009-11-16,1258326000,0.00105922,0.00105922,0.00105922,0.00105922,0
2009-11-23,1258930800,0.00082926,0.00082926,0.00082926,0.00082926,0
2009-11-30,1259535600,0.00073284,0.00073284,0.00073284,0.00073284,0
2009-12-07,1260140400,0.00061788,0.00061788,0.00061788,0.00061788,0
2009-12-14,1260745200,0.0006271,0.0006271,0.0006271,0.0006271,0
2009-12-21,1261350000,0.0006334,0.0006334,0.0006334,0.0006334,0
2009-12-28,1261954800,0.00071822,0.00071822,0.00071822,0.00071822,0
2010-01-04,1262559600,0.00071822,0.00071822,0.00071822,0.00071822,0
2010-01-11,1263164400,0.00280002,0.00280002,0.00280002,0.00280002,0
2010-01-18,1263769200,0.00325203,0.00325203,0.00325203,0.00325203,0
2010-01-25,1264374000,0.00329826,0.00329826,0.00329826,0.00329826,0
2010-02-01,1264978800,0.00373511,0.00373511,0.00373511,0.00373511,0
2010-02-08,1265583600,0.00405351,0.00405351,0.00405351,0.00405351,0
2010-02-15,1266188400,0.00466157,0.00466157,0.00466157,0.00466157,0
2010-02-22,1266793200,0.00529801,0.00529801,0.00529801,0.00529801,0
2010-03-01,1267398000,0.00547226,0.00547226,0.00547226,0.00547226,0
2010-04-19,1271628000,0.003,0.003,0.003,0.003,0
2010-04-26,1272232800,0.003,0.003,0.003,0.003,0
2010-05-03,1272837600,0.0035,0.0035,0.0035,0.0035,0
2010-05-10,1273442400,0.004,0.004,0.004,0.004,0
2010-05-17,1274047200,0.0045,0.0045,0.0045,0.0045,0
2010-05-24,1274652000,0.0045,0.0045,0.0045,0.0045,0
2010-06-07,1275861600,0.005,0.005,0.005,0.005,0
2010-06-14,1276466400,0.005,0.005,0.005,0.005,0
2010-06-21,1277071200,0.0044,0.0044,0.0044,0.0044,0
2010-06-28,1277676000,0.0068,0.0068,0.0068,0.0068,0
2010-07-05,1278280800,0.007,0.007,0.007,0.007,0
2010-07-12,1278885600,0.08584,0.08584,0.08584,0.08584,0
2010-07-19,1279490400,0.0505,0.0505,0.0505,0.0505,0
2010-07-26,1280095200,0.0611,0.0611,0.0611,0.0611,0
2010-08-02,1280700000,0.0609,0.0609,0.0609,0.0609,0
2010-08-09,1281304800,0.06529,0.06529,0.06529,0.06529,0
2010-08-16,1281909600,0.066,0.066,0.066,0.066,0
2010-08-23,1282514400,0.064,0.064,0.064,0.064,0
2010-08-30,1283119200,0.0616,0.0616,0.0616,0.0616,0
2010-09-06,1283724000,0.0615,0.0615,0.0615,0.0615,0
2010-09-13,1284328800,0.0627,0.0627,0.0627,0.0627,0
2010-09-20,1284933600,0.062,0.062,0.062,0.062,0
2010-09-27,1285538400,0.06111,0.06111,0.06111,0.06111,0
2010-10-04,1286143200,0.0965,0.0965,0.0965,0.0965,0
2010-10-11,1286748000,0.102,0.102,0.102,0.102,0
2010-10-18,1287352800,0.11501,0.11501,0.11501,0.11501,0
2010-10-25,1287957600,0.1925,0.1925,0.1925,0.1925,0
2010-11-01,1288566000,0.34,0.34,0.34,0.34,0
2010-11-08,1289170800,0.27904,0.27904,0.27904,0.27904,0
2010-11-15,1289775600,0.27675,0.27675,0.27675,0.27675,0
2010-11-22,1290380400,0.27,0.27,0.27,0.27,0
2010-11-29,1290985200,0.19,0.19,0.19,0.19,0
2010-12-06,1291590000,0.22,0.22,0.22,0.22,0
2010-12-13,1292194800,0.2401,0.2401,0.2401,0.2401,0
2010-12-20,1292799600,0.265,0.265,0.265,0.265,0
2010-12-27,1293404400,0.29997,0.29997,0.29997,0.29997,0
2011-01-03,1294009200,0.323,0.323,0.323,0.323,0
2011-01-10,1294614000,0.38679,0.38679,0.38679,0.38679,0
2011-01-17,1295218800,0.4424,0.4424,0.4424,0.4424,0
2011-01-24,1295823600,0.4799,0.4799,0.4799,0.4799,0
2011-01-31,1296428400,0.8975,0.8975,0.8975,0.8975,0
2011-02-07,1297033200,1.05,1.05,1.05,1.05,0
2011-02-14,1297638000,0.85,0.85,0.85,0.85,0
2011-02-21,1298242800,0.89,0.89,0.89,0.89,0
2011-02-28,1298847600,0.8999,0.8999,0.8999,0.8999,0
2011-03-07,1299452400,0.89249,0.89249,0.89249,0.89249,0
2011-03-14,1300057200,0.74108,0.74108,0.74108,0.74108,0
2011-03-21,1300662000,0.822,0.822,0.822,0.822,0
2011-03-28,1301263200,0.779,0.779,0.779,0.779,0
2011-04-04,1301868000,0.7369,0.7369,0.7369,0.7369,0
2011-04-11,1302472800,1.1123,1.1123,1.1123,1.1123,0
2011-04-18,1303077600,1.6311,1.6311,1.6311,1.6311,0
2011-04-25,1303682400,3.03311,3.03311,3.03311,3.03311,0
2011-05-02,1304287200,3.8659,3.8659,3.8659,3.8659,0
2011-05-09,1304892000,6.98701,6.98701,6.98701,6.98701,0
2011-05-16,1305496800,6.6901,6.6901,6.6901,6.6901,0
2011-05-23,1306101600,8.4299,8.4299,8.4299,8.4299,0
2011-05-30,1306706400,16.7,16.7,16.7,16.7,0
2011-06-06,1307311200,18.5464,18.5464,18.5464,18.5464,0
2011-06-13,1307916000,17.51,17.51,17.51,17.51,0
2011-06-27,1309125600,15.44049,15.44049,15.44049,15.44049,0
2011-07-04,1309730400,14.9,14.9,14.9,14.9,0
2011-07-11,1310335200,13.16,13.16,13.16,13.16,0
2011-07-18,1310940000,13.98001,13.98001,13.98001,13.98001,0
2011-07-25,1311544800,13.35,13.35,13.35,13.35,0
2011-08-01,1312149600,7.9,7.9,7.9,7.9,0
2011-08-08,1312754400,10.7957,10.7957,10.7957,10.7957,0
2011-08-15,1313359200,11.31125,11.31125,11.31125,11.31125,0
2011-08-22,1313964000,9.07011,9.07011,9.07011,9.07011,0
2011-08-29,1314568800,8.17798,8.17798,8.17798,8.17798,0
2011-09-05,1315173600,5.86435,5.86435,5.86435,5.86435,0
2011-09-12,1315778400,5.2,5.2,5.2,5.2,0
2011-09-19,1316383200,5.33,5.33,5.33,5.33,0
2011-09-26,1316988000,5.02701,5.02701,5.02701,5.02701,0
2011-10-03,1317592800,4.10288,4.10288,4.10288,4.10288,0
2011-10-10,1318197600,3.55701,3.55701,3.55701,3.55701,0
2011-10-17,1318802400,3.17,3.17,3.17,3.17,0
2011-10-24,1319407200,3.27,3.27,3.27,3.27,0
2011-10-31,1320015600,2.95959,2.95959,2.95959,2.95959,0
2011-11-07,1320620400,2.99686,2.99686,2.99686,2.99686,0
2011-11-14,1321225200,2.2,2.2,2.2,2.2,0
2011-11-21,1321830000,2.47991,2.47991,2.47991,2.47991,0
2011-11-28,1322434800,2.82809,2.82809,2.82809,2.82809,0
2011-12-05,1323039600,3.2511,3.2511,3.2511,3.2511,0
2011-12-12,1323644400,3.193,3.193,3.193,3.193,0
2011-12-19,1324249200,4.225,4.225,4.225,4.225,0
2011-12-26,1324854000,5.26766,5.26766,5.26766,5.26766,0
2012-01-02,1325458800,7.11358,7.11358,7.11358,7.11358,0
2012-01-09,1326063600,7.00177,7.00177,7.00177,7.00177,0
2012-01-16,1326668400,6.3097,6.3097,6.3097,6.3097,0
2012-01-23,1327273200,5.3809,5.3809,5.3809,5.3809,0
2012-01-30,1327878000,5.68881,5.68881,5.68881,5.68881,0
2012-02-06,1328482800,5.51468,5.51468,5.51468,5.51468,0
2012-02-13,1329087600,4.38669,4.38669,4.38669,4.38669,0
2012-02-20,1329692400,4.922,4.922,4.922,4.922,0
2012-02-27,1330297200,4.82001,4.82001,4.82001,4.82001,0
2012-03-05,1330902000,4.91,4.91,4.91,4.91,0
2012-03-12,1331506800,5.27943,5.27943,5.27943,5.27943,0
2012-03-19,1332111600,4.55001,4.55001,4.55001,4.55001,0
2012-03-26,1332712800,4.827,4.827,4.827,4.827,0
2012-04-02,1333317600,4.79252,4.79252,4.79252,4.79252,0
2012-04-09,1333922400,4.96892,4.96892,4.96892,4.96892,0
