date,timestamp,open,high,low,close,volume
1998-09-28,906955200,284.0,291.0,284.0,290.54998779296875,391
1998-09-29,907041600,282.0,284.0,282.0,282.0,531
1998-09-30,907128000,279.0,283.0,277.0,281.1499938964844,143
1998-10-01,907214400,282.0,286.0,282.0,284.5,81
1998-10-02,907300800,282.0,283.5,282.0,283.5,143
1998-10-05,907560000,282.0,283.5,279.0,280.0,122
1998-10-06,907646400,280.0,283.0,278.25,282.6000061035156,236
1998-10-07,907732800,285.8999938964844,288.0,284.5,286.29998779296875,179
1998-10-08,907819200,285.0,287.0,282.1000061035156,282.75,333
1998-10-09,907905600,282.0,284.0,281.0,283.75,252
1998-10-12,908164800,283.0,283.0,278.5,278.5,197
1998-10-13,908251200,278.0,281.0,278.0,279.0,200
1998-10-14,908337600,275.20001220703125,279.0,275.0,278.0,161
1998-10-15,908424000,275.0,277.0,274.5,275.0,174
1998-10-16,908510400,278.0,282.0,277.0,280.95001220703125,100
1998-10-19,908769600,278.0,278.0,275.5,276.0,692
1998-10-20,908856000,274.20001220703125,274.20001220703125,270.5,272.75,143
1998-10-21,908942400,273.29998779296875,278.0,273.29998779296875,275.0,228
1998-10-22,909028800,275.0,275.0,273.5,273.8500061035156,137
1998-10-23,909115200,275.0,277.0,275.0,276.79998779296875,175
1998-10-26,909378000,278.0,278.8999938964844,275.1000061035156,275.5,261
1998-10-27,909464400,277.0,283.8999938964844,277.0,282.04998779296875,279
1998-10-28,909550800,281.5,281.5,279.1000061035156,281.0,195
1998-10-29,909637200,279.0,279.5,276.0,276.6000061035156,160
1998-10-30,909723600,275.1000061035156,277.0,275.0,277.0,94
1998-11-02,909982800,274.0,274.0,273.0,273.0,148
1998-11-03,910069200,273.0,274.0,272.5,272.75,259
1998-11-04,910155600,274.0,276.0,273.0,275.0,142
1998-11-05,910242000,275.0,276.5,275.0,276.0,256
1998-11-06,910328400,273.0,273.5,272.0,272.6000061035156,171
1998-11-09,910587600,270.29998779296875,272.6000061035156,270.0,271.20001220703125,426
